,Outlet,Language,Tweet,Date,Reply,Tweet_label
0,Corriere,IT,Le navi delle Ong bloccate in mare: la Geo Barents al largo di Siracusa ,2022-11-05 23:23:45,"  È allucinante questo balletto sulla pelle di queste persone che sognano un futuro migliore...far credere che un grande paese come l'Italia non sia in grado di accogliere e gestire, anche con l'UE, l'arrivo di queste persone è una presa in giro verso tutti noi contribuenti.",neutral
1,RaiNews,IT,"È davanti al porto di Tolone, nel sud della Francia, la nave Ocean Viking con a bordo 230 migranti soccorsi in sei diverse operazioni tra il 22 e il 26 ottobre. Scrive le Monde: “Il salvataggio francese rompe il rapporto tra Parigi e Roma” (Video). ",2022-11-11 17:18:15,  Era ora.... Mangiarane di 💩,neutral
2,Corriere,IT,Centinaia di migranti assaltano le reti di confine a Melilla: 18 morti ,2022-06-26 10:49:09,"  "" assaltano"" .... questo è quello che ci aspetterà...",negative
3,repubblica,IT,"Ottanta bambini senza acqua da tre giorni, ignorato l'allarme del barcone di migranti  ",2022-09-14 17:47:40,  Ignorato da chi?? Pregasi fornire ELENCO completo !!!,negative
4,repubblica,IT,"Migranti, l'Ong Sos Humanity presenta ricorso al Tar contro il decreto del governo ",2022-11-07 14:20:34,  Tranquilli un pdino magistrato lo trovano sempre mai una gioia,neutral
5,Corriere,IT,"Marocco, la brutalità della polizia: bastonate ai migranti a terra ",2022-06-27 10:58:53,  DISUMANO,negative
6,repubblica,IT,"Ocean Viking verso la Francia: ""L'Italia non è più un porto sicuro"". Le altre Ong pronte a ripartire  ",2022-11-10 11:10:32,  Esatto non siamo più sicuri quindi andate nelle vostre Nazioni noi non li possiamo prendere tutti.,negative
7,RaiNews,IT,"Rateizzazione delle bollette, tetto del contante a 5 mila euro. Superbonus, la premier: ""Ha creato un buco di 38 miliardi"".  Sui #migranti: ""Cercare soluzioni comuni in Ue"" ",2022-11-11 14:32:43,"  che il bonus abbia creato un buco di 38 miliardi è una grande bugia invece ha rilanciato alla grande l'edilizia, forse fin troppo.  Manca l'onestà a questa quà",positive
8,repubblica,IT,"Regno Unito, sì dell'Alta Corte al trasferimento dei migranti in Ruanda  ",2022-06-11 08:10:40,  Ecco...di tanto in tanto qualcosa di veramente utile fanno st'inglesacci... 😃😁🤣,neutral
9,repubblica,IT,"La svolta Draghi-Erdogan ridisegna il Mediterraneo. ""Sui migranti Italia al limite""  ",2022-07-07 17:00:18,"  Il limite è stato oltrepassato da tempo. Basterebbe farsi un giro per le stazioni e le periferie, davanti ai supermercati o ai parcheggi. Invece che nel vostro mondo dorato con le scorte...",neutral
10,fattoquotidiano,IT,"I due leader si dividono su immigrazione, scostamento di bilancio e premiership ",2022-08-30 18:00:20, ,neutral
11,RaiNews,IT,"La risposta dei medici alla premier #Meloni, che aveva definito ""bizzarra"" la decisione delle autorità sanitarie di far scendere dalle navi i #migranti per il rischio di ""danni psicologici"" ",2022-11-10 21:01:00,"  Tra tanti lacché qualcuno con la schiena dritta c'è ancora, i medici non sono al servizio del  governo di turno,né  mai lo saranno.",negative
12,repubblica,IT,"Energia, migranti, Pnrr: Giorgia incassa sorrisi in Ue, ma porta a casa solo una sfilza di “no”  (scopri la app) #RepSelezione",2022-11-05 11:42:42,"  Io il vostro giornale lo farei chiudere. Raccoglieremo firme per togliere i finanziamenti a tutti i giornali, i risparmi andranno a tutte le famiglie in difficoltà.",negative
13,Tg3web,IT,"Annuncio shock del primo ministro britannico Johnson sull'immigrazione. I richiedenti asilo arrivati nel Regno Unito senza un regolare permesso d'ingresso saranno trasferiti in Ruanda con un biglietto di sola andata. In cambio, il Paese africano riceverà 145 milioni di euro ",2022-05-13 06:45:59,"  Una dimostrazione palese su come sono le situazioni. L’Europa viene considerata come escremento, chi può se ne va…se lo può fare.",negative
14,fattoquotidiano,IT,"Dopo aver fatto cilecca nella caccia ai #raveparty, il ministro Piantedosi - nuova specie di Salvini in doppiopetto - con l'invenzione dell'odiosa selezione medica dei migranti a bordo delle ""navi pirata"" ha di nuovo sbagliato i calcoli   ",2022-11-11 07:39:05,"    E la Francia non fa selezione?  "" I rifugiati che saranno accolti saranno quelli «compatibili con la richiesta di asilo» ha spiegato il ministro, ribadendo che «coloro che non potranno ottenere l’asilo ripartiranno direttamente verso il loro paese di origine».",negative
15,repubblica,IT,"Naufragio di migranti nel Mediterraneo, Sea Watch: ""Solo 4 superstiti in una barca con 100 persone"" ",2022-04-03 16:02:26,  Ma questi non sono ariani quindi non hanno diritto ad aiuti e dignità!!!! Che vergogna di esseri siamo!!!,negative
16,repubblica,IT,"Papa Francesco: ""Salvare i migranti, ma l’Ue non può lasciare sola l’Italia""  ",2022-11-07 15:16:44,  Perchè non li prende tutti in Vaticano?,neutral
17,repubblica,IT,"Lussemburgo, storico accordo Ue su redistribuzione migranti: 15 Stati membri su 27 pronti ad accogliere chi sbarca nei Paesi mediterranei ",2022-06-11 13:39:29,  IL PARLAMENTO EUROPEO SI DEVE RASSEGNARE TUTTI GLI AFRICANI UN MILIARDO E 300 MILIONI DI PERSONA IN EUROPA NON CI STANNO QUINDI E INUTILE CHE FATE ACCORDI FASULLI.,positive
18,fattoquotidiano,IT,"Salvini apre la campagna elettorale con i (soliti) cavalli di battaglia: spauracchio dell’immigrazione, madonne e immagini sacre ",2022-07-25 09:58:27,  Sempre e solo patetico,negative
19,repubblica,IT,"Giubbotti antiproiettile, elmetti, invio di armi a Kiev e aiuto ai rifugiati: cosa prevede il decreto che si vota oggi alla Camera ",2022-03-17 10:02:10,  ,neutral
20,repubblica,IT,"Novak se ne va, ma i profughi restano prigionieri: come funziona il sistema australiano per i migranti ritenuti illegali  ",2022-01-17 17:24:06,  Clandestini da respingere,negative
21,Corriere,IT,Pozzallo: sei migranti morti di fame e di sete su un barcone. Tra loro anche tre bambini ,2022-09-12 22:07:05,  Ringraziate i guerrafondai di professione !,negative
22,repubblica,IT,Agire come Salvini ma evitando il processo: la strategia di Piantedosi sui migranti ,2022-11-08 09:18:23,  ,neutral
23,RaiPortaaPorta,IT,"Le nuove misure economiche del Consiglio dei Ministri. La Francia sospende la ricollocazione dei migranti dall'Italia. Ospiti: Gianbattista Fazzolari, Sottosegretario alla Presidenza del Consiglio e Carlo Bonomi, Presidente di Confindustria. Guarda👉 ",2022-11-11 12:42:41,"  #vespa dai opinabili opinioni sul #rdc #redditodicittadinanza!  non mi sembra  tu sia stato eletto, a che titolo parli?   #vespa #PortaAPorta  Lo paghiamo come dipendete #rai ed è sempre di parte. il #M5S e    alla pari al 18.5 Ve lo sognate! #11novembre",neutral
24,Corriere,IT,Il piano di Johnson sui migranti: «I richiedenti asilo entrati illegalmente andranno in Ruanda» ,2022-04-15 14:49:20,"  Bad plan , pessima frase ! Purtroppo  ricorda ciò che in Italia viene detto fatto e supportato da molti .  In realtà ,  nel Regno Unito chi entra vive meravigliosamente e in libertà !",neutral
25,repubblica,IT,"Gran Bretagna, Johnson shock sull'immigrazione: ""I richiedenti asilo arrivati illegalmente saranno trasferiti in Ruanda"" ",2022-04-14 17:09:52,  perche' proprio in Ruanda si sa?,negative
26,repubblica,IT,"Il comandante dell'Humanity: ""Obbedisco solo alla legge del mare. E' la cosa giusta, non guardo indietro""  ",2022-11-08 12:39:55,  Lo dicesse a Barcellona...,positive
27,repubblica,IT,Sea Watch bloccata da 15 giorni a Reggio Calabria: e intanto i migranti muoiono nel Mediterraneo  ,2022-10-04 07:17:31,  È meglio che si blocchi tutto,negative
28,RaiNews,IT,La Ocean Viking e la Humanity 1 da anni lavorano per garantire che nessuno muoia durante la fuga attraverso il Mediterraneo ,2022-11-02 19:57:40,  Strano!!!! Ho sentito che da inizio anno sono già morte 1800 migranti nel Mediterraneo!!!,positive
