,Outlet,Language,Tweet,Date,Reply,Tweet_label
0,NUnl,NL,Zo wil het kabinet binnen vier maanden huizen regelen voor 20.000 statushouders ,2022-09-02 22:04:49,  Wij zijn ook mensen?,neutral
1,NUnl,NL,"Zo werkt het Deense asielbeleid, een van het strengste van Europa ",2022-05-29 08:12:22,  Kørig 👏🏽,neutral
2,NUnl,NL,"Ter Apel loopt weer vol met minderjarigen, die nu nergens anders heen kunnen ",2022-09-18 06:20:35,  Lekker terug naar pappie en mammie toch?,negative
3,NOS,NL,Gemeenten staan voor flinke opgave bij opvang vluchtelingen Oekraïne ,2022-03-12 07:55:07,  O,neutral
4,NUnl,NL,Hulporganisaties eisen structurele oplossing voor opvang vluchtelingen ,2022-03-30 14:22:58,  Vooral dat 'eisen'...stuit mij tegen de borst.           #TerApel  #vluchtelingen,neutral
5,NUnl,NL,Politie en IND registreren asielzoekers sneller om druk op Ter Apel te verlichten ,2022-08-17 08:13:48,"  Als de emmer vol is dan moet je de toevoer dicht draaien. Extra emmers plaatsen helpt ook , maar dan is je huis vol met emmers",positive
6,NOS,NL,Kabinet ziet af van opvang asielzoekers op zee ,2022-07-29 07:26:19,  Ze worden nu in en om het Binnenhof geplaatst. Veeeeeeeel meer ruimte.,neutral
7,NOS,NL,Ministerie zet straatcoaches in tegen overlast door asielzoekers Ter Apel  ,2022-11-10 15:35:20,"  Als je een vent was geweest, had je ze direct het land uitgeflikkerd, maar ja dat mag van je eigenaars Rutte en Kaag niet  Braaf slaafje ben je",negative
8,NOS,NL,'Gezondheidszorg niet goed toegankelijk voor Oost-Europese arbeidsmigranten' ,2022-04-12 12:28:58,  Schandalig hoe ze vaak behandeld worden in dit gave land…,negative
9,NUnl,NL,Vijftig vluchtelingen uit Oekraïne meldden zich tot nu toe in Ter Apel ,2022-03-01 10:46:01,  Zullen zich hier ook niet veilig voelen tussen al die mannen uit de andere landen!!,neutral
10,NUnl,NL,Meerdere auto's van Oekraïense vluchtelingen beschadigd in Rotterdam ,2022-05-08 16:20:11,  Als het waar is keihard op zoek naar de daders.,negative
11,NUnl,NL,"Nijmegen vangt 100 asielzoekers uit Ter Apel op, nog 200 slaapplekken nodig ",2022-04-20 09:12:57,  In Saoedi Arabië staan ook nog een paar luxe tenten leeg…,neutral
