,Outlet,Language,Tweet,Date,Reply,Reply_label
0,repubblica,IT,L'arma dei migranti sul voto: i barconi spinti in Italia dai mercenari della Wagner ,2022-07-29 05:22:07,  Se lo dite voi siamo certi che è una #FakeNews,negative
1,repubblica,IT,"Insulti razzisti, pugni e calci contro un migrante accusato di essersi spogliato in pubblico  ",2022-09-24 15:34:35,  Bisognerebbe chiedere al giornalista di Repubblica se il migrante dopo essersi denudato avesse violentata la ragazza avrebbe scritto le stesse cose o le scrive perché siamo in campagna elettorale e non trova di meglio che usare parole razzismo per avvicinarle al centrodestra!,negative
2,fattoquotidiano,IT,Lega vuole Lorenzo Fontana presidente della Camera. Quando diceva: “Gay e migranti vogliono dominarci. Russia modello da seguire” ,2022-10-13 18:09:26,  ,neutral
3,repubblica,IT,"Crisi Italia-Francia sui migranti. Meloni: ""Ci vogliono isolare"". La preoccupazione di Mattarella  ",2022-11-11 12:08:29,  🤡🎪🤡🎪 ,negative
4,repubblica,IT,"L'accusa farlocca di Salvini: ""A Lampedusa i migranti hanno rubato le barche"". Ma non è vero  ",2022-09-17 15:53:02,  Aspettiamo le sue scuse🤣🤣🤣,negative
5,repubblica,IT,"No a gay, migranti e aborto: le crociate dell’ultracattolico che sfilava con i neonazisti  (scopri la app) #RepSelezione",2022-10-15 18:15:28,  neanche come carta igienica  compro sta specie di giornale,negative
6,repubblica,IT,"Meloni: ""Sulle navi Ong migranti, non naufraghi. Sugli sbarchi decisione dei medici bizzarra"" ",2022-11-10 05:57:28,  Basta rinunciare a certi finanziamenti di cui gode la stampa e devolvere a chi ha necessita’ di supporto. ,negative
7,repubblica,IT,"Catania, Schlein: ""Inumano e illegale: sbarco ora!"" ",2022-11-07 11:08:46,"  Mi auguro che Piantedosi tenga duro. Non esiste che sia SEMPRE E SOLO l'Italia ad accollarsi chiunque si butti in mare per sbarcare ILLEGALMENTE sulle nostre coste e mettersi a carico dei contribuenti italiani, mentre la gran parte delinque. Altroché.",negative
8,fattoquotidiano,IT,"Migranti, la Germania scrive al governo Meloni: “Presti velocemente soccorso alla nave Humanity 1. Ci sono 104 minori a bordo” ",2022-11-03 09:12:23,"  soccorrerli va benissimo, basta che non li fa sbarcare.",neutral
9,repubblica,IT,"Nell’asilo degli ultrà No Vax: ""Bambini, il Covid non esiste""  ",2022-02-04 19:53:53,  👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,positive
10,repubblica,IT,"Decreto rave, Elly Schlein: ""Piantedosi ritiri la norma"". E sui migranti: ""La battaglia non si fa bloccando le persone in mare""  ",2022-11-03 19:39:32,"  Disfatta del pd la colpa principale di voi giornalai ormai dipendenti dei politici di riferimento del vostro editore,  in secondo luogo questi politicanti servili",negative
11,RaiNews,IT,"Sui #migranti ""ci sono degli obblighi legali e morali, le vite vanno salvate, e secondo le regole internazionali va profuso ogni sforzo per minimizzare la permanenza a bordo delle navi"", ha detto Anitta Hipper, portavoce della #CommissioneEuropea ",2022-11-07 21:25:05,  Invece Polonia Ungheria possono fare quello che vogliono,neutral
12,repubblica,IT,"Decreto rave, Elly Schlein: ""Piantedosi ritiri la norma"". E sui migranti: ""La battaglia non si fa bloccando le persone in mare""  ",2022-11-03 13:30:00,  l'immobilismo è sempre stato il fulcro delle vostre politiche ma i tempi sono cambiati....,neutral
13,repubblica,IT,"Insulti razzisti, pugni e calci contro un migrante accusato di essersi spogliato in pubblico  ",2022-09-25 11:49:07,"  Poteva anche un essere italiano, ma se si stava denudando per fare violenza hanno fatto bene a dargliele. Forse la gente inizia a svegliarsi",positive
14,Tg3web,IT,"Annuncio shock del primo ministro britannico Johnson sull'immigrazione. I richiedenti asilo arrivati nel Regno Unito senza un regolare permesso d'ingresso saranno trasferiti in Ruanda con un biglietto di sola andata. In cambio, il Paese africano riceverà 145 milioni di euro ",2022-04-14 14:24:12,  😡😡😡,negative
15,fattoquotidiano,IT,"Pugno di ferro contro gli sbarchi: ""Prenderemo solo i fragili"" ",2022-11-05 08:31:07,  così staranno tutti male...,negative
16,Raiofficialnews,IT,"“È il contributo del #ServizioPubblico al racconto della realtà, grazie all'impegno dei nostri inviati”. Carlo Fuortes, Ad #Rai   Dal #25marzo alle 15 su  , il primo telegiornale in lingua ucraina per i rifugiati che hanno trovato riparo in Italia➡️ ",2022-03-24 16:55:49,    Ma veramente avete mandato via il professore Orsini?!!! Ma non vi vergognate!!!! E io vi pago!!!! Vergogna assoluta!!! Vediamo se fate vedere il mio tweet,negative
17,repubblica,IT,Primo schiaffo dell'Ue a Meloni. E a Catania i migranti a bordo sbarcano  ,2022-11-09 06:29:04,  E la nave che va in Francia cos'è? Un altro schiaffo alla Meloni o viceversa?,neutral
18,fattoquotidiano,IT,"Salvini apre la campagna elettorale con i (soliti) cavalli di battaglia: spauracchio dell’immigrazione, madonne e immagini sacre ",2022-07-22 21:39:29,"  Gli manca solo di dire ""la Madonna é grande"" e fare da kamikaze, ma quando mai! é un estremista non praticante! Mi fa pena! Io credo che il Vangelo e o la Bibbia la usi solo come zeppa per qualche mobile o poltrona!",negative
19,repubblica,IT,"Soumahoro: “Stipendi più alti e cittadinanza per i figli, i migranti non sono schiavi”  ",2022-10-25 20:08:55,  Per i migranti regolari si. Per i clandestini carcere ed espulsione. Per tutti i clandestini che girano indisturbati pure. Ne restano pochini da stipendiare. Così si può fare. Cittadinanza? Macché. A casa mia si fa come dico io. 🙂,neutral
20,Corriere,IT,"🔴 La Francia accusa l’Italia: «Comportamento inaccettabile, la Ocean Viking deve essere accolta da voi» ",2022-11-09 11:59:45,  Che bello fare critiche sulla pelle altrui,negative
21,repubblica,IT,"Decreto rave, Elly Schlein: ""Piantedosi ritiri la norma"". E sui migranti: ""La battaglia non si fa bloccando le persone in mare""  ",2022-11-03 21:12:03,"  Quello che dici conta meno di zero, nullità",negative
22,repubblica,IT,"Insulti razzisti, pugni e calci contro un migrante accusato di essersi spogliato in pubblico  ",2022-09-25 11:45:45,  Ottimo,positive
23,repubblica,IT,L'arma dei migranti sul voto: i barconi spinti in Italia dai mercenari della Wagner ,2022-07-29 10:39:10,  La Russia per comprarsi i voti fa leva sul razzismo dell’italiano medio… le piace vincere facile,neutral
24,Corriere,IT,Boom di sbarchi a Lampedusa dalla Tunisia: perché c’entra (anche) la guerra in Ucraina ,2022-07-26 07:26:03,"  I tunisini possiamo farli tornare indietro immediatamente. .perché non sono in guerra,non muoiono di fame,...e qui siamo in troppi",neutral
25,repubblica,IT,"Catania: a bordo della Humanity restano 35 persone, sbarcati 144 migranti  ",2022-11-06 09:16:50,  Iniziano i grandi risultati del nuovo governo,negative
26,Corriere,IT,"Il capitano della Humanity 1: «Resto qui immobile, altrimenti sarei colpevole» ",2022-11-07 12:12:48,  Colpevole di esser nato,negative
27,repubblica,IT,Primo schiaffo dell'Ue a Meloni. E a Catania i migranti a bordo sbarcano  ,2022-11-08 22:32:29,  Se continua così alle prossime elezioni FDI prende il 60%,positive
28,repubblica,IT,"Decreto rave, Elly Schlein: ""Piantedosi ritiri la norma"". E sui migranti: ""La battaglia non si fa bloccando le persone in mare""  ",2022-11-04 05:50:04,  Chiiii???,neutral
