,Outlet,Language,Tweet,Date,Reply,Reply_label
0,NOS,NL,Grote groep asielzoekers slaapt noodgedwongen buiten in Ter Apel: 'Historisch dieptepunt' ,2022-07-14 13:27:50,  Stuur ze terug.,negative
1,NOS,NL,Kabinet wil asielcrisis oplossen met 20.000 huizen en meer geld ,2022-08-26 15:26:08,"  Dat is geen ""oplossen"" maar symptoombestrijding",neutral
2,NOS,NL,Rechter geeft toestemming voor noodopvang asielzoekers op cruiseschip Velsen-Noord ,2022-09-26 15:02:57,  Oh goi..... dit gaat nare reacties opbrengen.....👇,negative
3,NUnl,NL,Eigenaar 'asielhotel' Albergen moet dat van rechter gewoon verkopen aan COA ,2022-08-29 14:09:22,  Prima en zo hoort het. Niet eerst verkopen en dan huilie huilie doen. Jankerds.,negative
4,NOS,NL,Rode Kruis opent servicepunt voor wachtende asielzoekers in Ter Apel ,2022-08-01 19:34:27,  Ook een servicepunt voor jongeren die een huis willen?,neutral
5,NOS,NL,Cruiseschip voor duizend asielzoekers komt aan in Amsterdamse haven ,2022-09-26 09:56:20,  Heeft Kaag al een theedrinkhut gekregen?,negative
6,NUnl,NL,Gezondheidsproblemen door smerige wc's Ter Apel: 'Valt niet tegenop te poetsen' ,2022-08-25 09:34:09,  Alles voor de show,negative
7,NUnl,NL,Rutte hoopt op woningen voor statushouders: 'Hebt ze ook nodig op arbeidsmarkt' ,2022-08-26 17:11:45,  Ze komen er nog wel achter dat ze gewoon gebruikt zijn en worden,negative
8,NUnl,NL,Rutte hoopt op woningen voor statushouders: 'Hebt ze ook nodig op arbeidsmarkt' ,2022-08-26 19:39:44,  In de praktijk zijn die helpende handjes alleen handjes die gevuld moeten worden. We moeten nu al zorgdragen voor miljoenen en miljoenen vluchtelingen en wat al niet meer.,negative
9,NOS,NL,"300 asielzoekers in Ter Apel sliepen vannacht buiten, hoogste aantal tot nu toe ",2022-07-17 16:07:35,  In Nijmegen slapen ze ook buiten op dit moment en je hoort de wandelaars ook niet klagen dat ze huis en uitkering willen en subsidie voor die hoer..,negative
10,NOS,NL,Ministerie zet straatcoaches in tegen overlast door asielzoekers Ter Apel  ,2022-11-06 02:10:15,  Nog meer geld in die bodemloze put stoppen👏,negative
11,NOS,NL,Hulporganisaties roepen Rutte op om regie te nemen in asielcrisis ,2022-07-26 22:11:07,"  Nou prima, als die dan eerst al die organisaties eens verbied.....",neutral
12,NUnl,NL,Grote groep asielzoekers slaapt opnieuw buiten in Ter Apel ,2022-08-26 13:08:56,  all young men. send them all home.,negative
13,NOS,NL,COA wil asielzoekers onderbrengen in hotel in Albergen ,2022-08-16 21:05:42,"  Tuig is het, iedereen die dit mogelijk maakt en goedkeurt. Hoe sloop je je eigen land",negative
